temp,rain_1h,snow_1h,clouds_all,date_time,traffic_volume,hour,day_of_week,is_weekend,is_holiday,is_peak_hour,hour_sin,hour_cos,weather_main_grouped,congestion_level
288.28,0.0,0.0,40,2012-10-02 09:00:00,5545,9,Tuesday,0,0,0,0.7071067811865476,-0.7071067811865475,Clouds,Very High
289.36,0.0,0.0,75,2012-10-02 10:00:00,4516,10,Tuesday,0,0,0,0.49999999999999994,-0.8660254037844387,Clouds,High
289.58,0.0,0.0,90,2012-10-02 11:00:00,4767,11,Tuesday,0,0,0,0.258819045102521,-0.9659258262890682,Clouds,High
290.13,0.0,0.0,90,2012-10-02 12:00:00,5026,12,Tuesday,0,0,0,1.2246467991473532e-16,-1.0,Clouds,Very High
291.14,0.0,0.0,75,2012-10-02 13:00:00,4918,13,Tuesday,0,0,0,-0.2588190451025208,-0.9659258262890683,Clouds,High
291.72,0.0,0.0,1,2012-10-02 14:00:00,5181,14,Tuesday,0,0,1,-0.4999999999999997,-0.8660254037844388,Clear,Very High
293.17,0.0,0.0,1,2012-10-02 15:00:00,5584,15,Tuesday,0,0,1,-0.7071067811865471,-0.7071067811865479,Clear,Very High
293.86,0.0,0.0,1,2012-10-02 16:00:00,6015,16,Tuesday,0,0,1,-0.8660254037844385,-0.5000000000000004,Clear,Very High
294.14,0.0,0.0,20,2012-10-02 17:00:00,5791,17,Tuesday,0,0,1,-0.9659258262890683,-0.25881904510252063,Clouds,Very High
293.1,0.0,0.0,20,2012-10-02 18:00:00,4770,18,Tuesday,0,0,0,-1.0,-1.8369701987210297e-16,Clouds,High
290.97,0.0,0.0,20,2012-10-02 19:00:00,3539,19,Tuesday,0,0,0,-0.9659258262890684,0.2588190451025203,Clouds,High
289.38,0.0,0.0,1,2012-10-02 20:00:00,2784,20,Tuesday,0,0,0,-0.8660254037844386,0.5000000000000001,Clear,Medium
288.61,0.0,0.0,1,2012-10-02 21:00:00,2361,21,Tuesday,0,0,0,-0.7071067811865477,0.7071067811865474,Clear,Medium
287.16,0.0,0.0,1,2012-10-02 22:00:00,1529,22,Tuesday,0,0,0,-0.5000000000000004,0.8660254037844384,Clear,Medium
285.45,0.0,0.0,1,2012-10-02 23:00:00,963,23,Tuesday,0,0,0,-0.25881904510252157,0.9659258262890681,Clear,Low
284.63,0.0,0.0,1,2012-10-03 00:00:00,506,0,Wednesday,0,0,0,0.0,1.0,Clear,Low
283.47,0.0,0.0,1,2012-10-03 01:00:00,321,1,Wednesday,0,0,0,0.25881904510252074,0.9659258262890683,Clear,Low
281.18,0.0,0.0,1,2012-10-03 02:00:00,273,2,Wednesday,0,0,0,0.49999999999999994,0.8660254037844387,Clear,Low
281.09,0.0,0.0,1,2012-10-03 03:00:00,367,3,Wednesday,0,0,0,0.7071067811865476,0.7071067811865476,Clear,Low
279.53,0.0,0.0,1,2012-10-03 04:00:00,814,4,Wednesday,0,0,0,0.8660254037844386,0.5000000000000001,Clear,Low
278.62,0.0,0.0,1,2012-10-03 05:00:00,2718,5,Wednesday,0,0,0,0.9659258262890683,0.25881904510252074,Clear,Medium
278.23,0.0,0.0,1,2012-10-03 06:00:00,5673,6,Wednesday,0,0,1,1.0,6.123233995736766e-17,Clear,Very High
278.12,0.0,0.0,1,2012-10-03 08:00:00,6511,8,Wednesday,0,0,1,0.8660254037844387,-0.4999999999999998,Clear,Very High
